"","Accuracy","BalAcc","Kappa","AUC","LogLoss","Model","GridID","p","n_coefs","q_tx","q_pr","q_me","q_cl"
"76",0.6,0.743055555555556,0.428571428571428,0.833333333333333,3.85184487830387,"NNET",21,57,114,0.97,0.7,0.97,0.65
"77",0.6,0.743055555555556,0.428571428571428,0.916666666666667,1.61379511820537,"NNET",22,108,216,0.9,0.85,0.97,0.65
"78",0.6,0.743055555555556,0.428571428571428,0.958333333333333,3.99490252312798,"NNET",27,91,182,0.97,0.7,0.7,0.7
"79",0.6,0.743055555555556,0.428571428571428,0.958333333333333,3.58016584904423,"NNET",30,87,174,0.97,0.85,0.7,0.7
"80",0.6,0.743055555555556,0.428571428571428,0.958333333333333,0.664031477890392,"NNET",31,125,250,0.9,0.7,0.85,0.7
"81",0.6,0.743055555555556,0.428571428571428,0.9375,1.44054107265275,"NNET",37,111,222,0.9,0.7,0.95,0.7
"82",0.6,0.743055555555556,0.428571428571428,0.854166666666667,2.93366864720372,"NNET",39,56,112,0.97,0.7,0.95,0.7
"83",0.6,0.743055555555556,0.428571428571428,0.927083333333333,1.55443549144952,"NNET",40,107,214,0.9,0.85,0.95,0.7
"84",0.6,0.743055555555556,0.428571428571428,0.9375,1.45779067110613,"NNET",43,109,218,0.9,0.7,0.97,0.7
"85",0.6,0.743055555555556,0.428571428571428,0.916666666666667,1.41468515318314,"NNET",46,105,210,0.9,0.85,0.97,0.7
"86",0.6,0.736111111111111,0.411764705882353,0.84375,2.661045627501,"NNET",17,71,142,0.95,0.85,0.95,0.65
"87",0.6,0.729166666666667,0.393939393939394,0.885416666666667,2.15387586615189,"NNET",23,69,138,0.95,0.85,0.97,0.65
"88",0.6,0.729166666666667,0.393939393939394,0.864583333333333,2.54587737146003,"NNET",41,68,136,0.95,0.85,0.95,0.7
"89",0.6,0.729166666666667,0.393939393939394,0.927083333333333,2.28715959939272,"NNET",47,66,132,0.95,0.85,0.97,0.7
"90",0.6,0.701388888888889,0.411764705882353,0.885416666666667,1.09768072774059,"NNET",1,149,298,0.9,0.7,0.7,0.65
"91",0.6,0.701388888888889,0.411764705882353,0.885416666666667,0.733518496678905,"NNET",4,145,290,0.9,0.85,0.7,0.65
"92",0.6,0.694444444444445,0.393939393939394,0.8125,6.13165728506068,"NNET",2,110,220,0.95,0.7,0.7,0.65
"93",0.6,0.694444444444445,0.393939393939394,0.8125,3.79251633301087,"NNET",18,55,110,0.97,0.85,0.95,0.65
"94",0.6,0.694444444444445,0.393939393939394,0.854166666666667,5.75277119460324,"NNET",26,107,214,0.95,0.7,0.7,0.7
"95",0.6,0.645833333333333,0.354838709677419,0.875,3.74829358104237,"NNET",12,69,138,0.97,0.85,0.85,0.65
"96",0.5,0.631944444444445,0.264705882352941,0.791666666666667,4.27303897598181,"NNET",15,59,118,0.97,0.7,0.95,0.65
