"","Feature","Freq_sPLSDA","Class_sPLSDA","Freqs","Class_elastic","Freq_elastic","RelFreq_elastic","PLSDA_Comp","PLSDA_Class","PLSDA_Sign_NP","PLSDA_Sign_FD","PLSDA_Sign_SO","PLSDA_importance_mean","PLSDA_importance_sum","PLSDA_importance_max","PLSDA_sign_dom","Multinom_Class","Multinom_Coef","Multinom_Sign","crit_splsda","crit_elastic","crit_plsda","crit_multinom","Score","Candidate"
"32","neg_334",100,"NP",1,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","1;1","-1;-1",0.116609492713341,0.233218985426682,0.16431465725976,-1,"FD;NP;SO","-1.576;0;-2.083","-1;0;-1",1,1,0,0,2,"No"
"33","neg_38",100,"NP",1,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","1;1","-1;-1",0.13842203476685,0.2768440695337,0.160414715064231,-1,"FD;NP;SO","-3.151;0;-1.66","-1;0;-1",1,1,1,0,3,"Yes"
"34","neg_43",100,"NP",1,"FD;NP;SO",88,0.88,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.105252519698044,0.210505039396089,0.137836229058638,-1,"FD;NP;SO","-1.947;0;-1.456","-1;0;-1",1,1,0,0,2,"No"
"35","neg_6",100,"NP",1,"FD;NP;SO",91,0.91,"1;2","NP;NP","1;1","1;1","-1;-1",0.103899334455789,0.207798668911579,0.158155266020074,-1,"FD;NP;SO","-2.277;0;-1.586","-1;0;-1",1,1,0,0,2,"No"
"36","Osteonectin",86,"NP",0.86,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.145930330111983,0.291860660223965,0.200055866447108,1,"FD;NP;SO","-2.388;0;-1.041","-1;0;-1",1,1,1,0,3,"Yes"
"37","pos_220",100,"NP",1,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.145620165147036,0.291240330294071,0.156347406216717,-1,"FD;NP;SO","-2.473;0;-1.934","-1;0;-1",1,1,1,0,3,"Yes"
"38","pos_384",100,"NP",1,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","1;1","-1;-1",0.119794980651246,0.239589961302493,0.155880512839692,-1,"FD;NP;SO","-2.873;0;-1.149","-1;0;-1",1,1,0,0,2,"No"
"39","pos_564",100,"NP",1,"FD;NP;SO",88,0.88,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.0855159949062211,0.171031989812442,0.142651222534596,-1,"FD;NP;SO","-2.8;0;-1.156","-1;0;-1",1,1,0,0,2,"No"
"40","SKP1",100,"NP",1,"FD;NP;SO",91,0.91,"1;2","NP;NP","1;1","1;1","-1;-1",0.113024668746817,0.226049337493634,0.143873198165232,-1,"FD;NP;SO","-2.542;0;-1.238","-1;0;-1",1,1,0,0,2,"No"
"41","SLC16A3",31,"NP",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"42","ZC3HC1",11,"NP",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"43","ZNF239",100,"NP",1,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.154910840419959,0.309821680839919,0.159194796429322,-1,"FD;NP;SO","-3.607;0;-1.361","-1;0;-1",1,1,1,0,3,"Yes"
"44","ZNF830",62,"NP",0.62,"FD;NP;SO",100,1,"1;2","NP;NP","1;1","-1;-1","1;1",0.163801321473784,0.327602642947569,0.293975831867256,1,"FD;NP;SO","-3.533;0;-0.093","-1;0;-1",1,1,1,0,3,"Yes"
